County,student_count,student_F2F,staff_count,Masks_required,StudentCases,StaffCases,OtherCases,TotalCases,StudentRate_All,StudentRate_F2F,StaffRate,DistrictRate_F2F,DistrictRate_All
Alachua,27408,15896,2882,Yes,106,51,,157,3.867483946,6.668344238,17.69604441,8.360847801,5.183228788
Baker,5060,4797,643,No,41,14,,55,8.102766798,8.547008547,21.77293935,10.11029412,9.644046993
Bay,21695,16121,2998,Yes,63,26,,89,2.903894907,3.907946157,8.672448299,4.655055181,3.604260317
Bradford,3162,2624,536,No,20,16,,36,6.325110689,7.62195122,29.85074627,11.39240506,9.734991888
Brevard,73135,50835,8889,Yes,303,105,,408,4.143023176,5.960460313,11.81235235,6.831424553,4.974153906
Broward,210109,167864,33022,Yes,100,66,,166,0.475943439,0.595720345,1.998667555,0.826339317,0.6827595
Calhoun,2326,1926,296,No,8,3,,11,3.439380911,4.153686397,10.13513514,4.95049505,4.195270786
Charlotte,14607,12571,2253,No,23,6,,29,1.574587527,1.829607828,2.663115846,1.956287102,1.72004745
Citrus,17022,11776,2206,Yes,65,42,,107,3.81858771,5.519701087,19.03898459,7.652696324,5.564801331
Clay,41971,29439,5115,Yes,95,23,,118,2.263467632,3.227011787,4.49657869,3.414944724,2.506052755
Collier,47000,27401,6134,Yes,76,39,,115,1.617021277,2.773621401,6.358004565,3.429253019,2.164339218
Columbia,9816,8132,1419,No,46,20,,66,4.686226569,5.656665027,14.0944327,6.910271176,5.874499332
Dade,328600,,34756,Yes,144,68,,212,0.438222763,#DIV/0!,1.95649672,6.099666245,0.58344984
Desoto,4682,3076,657,No,16,15,,31,3.417343016,5.201560468,22.83105023,8.304312885,5.806330774
Dixie,2281,1970,334,No,7,3,,10,3.068829461,3.553299492,8.982035928,4.340277778,3.824091778
Duval,120447,63356,12603,Yes,225,80,,305,1.868041545,3.551360566,6.347694993,4.015324056,2.292371289
Escambia,36420,22777,5356,Yes,37,29,,66,1.015925316,1.624445713,5.414488424,2.34599936,1.579854462
Flagler,12196,7903,1658,No,39,17,,56,3.197769761,4.934834873,10.25331725,5.857127915,4.042153891
Franklin,1249,1012,222,No,19,8,,27,15.21216974,18.77470356,36.03603604,21.88006483,18.35486064
Gadsden,4985,1994,886,Yes,21,10,,31,4.212637914,10.53159478,11.28668172,10.76388889,5.280190768
Gilchrist,2757,2518,376,No,2,0,,2,0.725426188,0.794281176,0,0.691085003,0.638365784
Glades,3098,2338,189,No,13,11,,24,4.196255649,5.560307956,58.2010582,9.49742778,7.301490721
Gulf,1849,1637,281,No,19,4,,23,10.27582477,11.60659743,14.23487544,11.99165798,10.79812207
Hamilton,1596,1298,259,No,1,3,,4,0.626566416,0.770416025,11.58301158,2.569043031,2.156334232
Hardee,4939,4057,657,No,140,30,,170,28.34581899,34.50825733,45.66210046,36.06279168,30.37884203
Hendry,7337,4752,905,Yes,10,10,,20,1.362954886,2.104377104,11.04972376,3.535442814,2.426595487
Hernando,22451,14889,2899,No,38,25,,63,1.692574941,2.55221976,8.623663332,3.541713515,2.485207101
Highlands,11344,9189,1531,No,39,17,,56,3.437940762,4.244205028,11.10385369,5.223880597,4.349514563
Hillsborough,219940,122591,27377,Yes,464,372,,836,2.109666273,3.78494343,13.58804836,5.574522565,3.380277134
Holmes,3159,2819,450,No,13,6,,19,4.115226337,4.611564385,13.33333333,5.812174977,5.264616237
Indian River,15187,9493,2274,Yes,35,11,,46,2.304602621,3.68692721,4.837291117,3.909237699,2.634442472
Jackson,6529,5274,1021,No,36,16,,52,5.513861234,6.825938567,15.67091087,8.260524226,6.887417219
Jefferson,707,399,140,Yes,6,1,,7,8.486562942,15.03759398,7.142857143,12.98701299,8.26446281
Lafayette,1166,1164,156,No,3,2,,5,2.572898799,2.577319588,12.82051282,3.787878788,3.78214826
Lake,42223,25500,4740,Yes,108,51,,159,2.557847619,4.235294118,10.75949367,5.257936508,3.385644018
Lee,94903,53088,10437,Yes,139,51,,190,1.464653383,2.618294153,4.886461627,2.990948445,1.803683311
Leon,32316,14111,4588,Yes,103,54,,157,3.187275653,7.299270073,11.76983435,8.396170918,4.254281379
Levy,5472,4640,800,No,16,0,,16,2.923976608,3.448275862,0,2.941176471,2.551020408
Liberty,1133,,216,No,18,1,,19,15.8870256,#DIV/0!,4.62962963,87.96296296,14.08450704
Madison,1833,1367,338,No,5,5,,10,2.727768685,3.657644477,14.79289941,5.865102639,4.606172271
Manatee,49205,32637,6787,Yes,100,47,,147,2.032313789,3.064007108,6.925003684,3.728693182,2.625375054
Marion,40387,28270,6158,No,146,63,,209,3.615024637,5.16448532,10.23059435,6.070640177,4.490278225
Martin,17855,,2649,Yes,52,10,,62,2.912349482,#DIV/0!,3.775009438,23.40505851,3.023800234
Monroe,8151,7743,1209,Yes,15,3,,18,1.840264998,1.93723363,2.481389578,2.010723861,1.923076923
Nassau,11869,8699,1598,Yes,41,13,,54,3.454376948,4.713185424,8.135168961,5.244245897,4.009801738
Okaloosa,29842,26559,3169,No,170,73,,243,5.696669124,6.400843405,23.03565794,8.174111948,7.361182636
Okeechobee,5859,3925,822,Yes,18,6,,24,3.072196621,4.585987261,7.299270073,5.055824731,3.592276605
Orange,203285,76675,26330,Yes,328,189,,517,1.613498291,4.277795892,7.178123813,5.019173827,2.251595061
